,date,kospi_adj_close,kospi_volume,kosdaq_adj_close,kosdaq_volume,usd_krw_adj_close,year,month,day
753,2021-01-25,3208.98999,1093700,999.299988,1900,1104.640015,2021,1,25
754,2021-01-26,3140.310059,873000,994.0,2700,1101.72998,2021,1,26
755,2021-01-27,3122.560059,924600,985.919983,2900,1101.0,2021,1,27
756,2021-01-28,3069.050049,1310500,961.22998,2000,1107.5,2021,1,28
757,2021-01-29,2976.209961,995100,928.72998,2200,1112.290039,2021,1,29
758,2021-02-01,3056.530029,969300,956.919983,1500,1117.430054,2021,2,1
759,2021-02-02,3096.810059,887300,963.809998,0,1116.880005,2021,2,2
760,2021-02-03,3129.679932,901800,970.690002,1900,1113.609985,2021,2,3
761,2021-02-04,3087.550049,1460900,964.580017,2200,1113.150024,2021,2,4
762,2021-02-05,3120.629883,1193500,967.419983,2000,1119.130005,2021,2,5
763,2021-02-08,3091.23999,1277200,960.780029,2100,1116.849976,2021,2,8
764,2021-02-09,3084.669922,2145400,957.849976,3200,1116.329956,2021,2,9
765,2021-02-10,3100.580078,2152900,964.309998,2800,1110.0,2021,2,10
766,2021-02-15,3147.0,1604700,981.969971,3000,1103.369995,2021,2,15
767,2021-02-16,3163.25,1944400,977.73999,3000,1102.23999,2021,2,16
768,2021-02-17,3133.72998,1784100,979.77002,5100,1106.459961,2021,2,17
769,2021-02-18,3086.659912,1860600,967.419983,4400,1104.550049,2021,2,18
770,2021-02-19,3107.620117,3455500,965.109985,4400,1106.219971,2021,2,19
771,2021-02-22,3079.75,1832000,954.289978,2700,1103.939941,2021,2,22
772,2021-02-23,3070.090088,2357800,936.599976,3400,1110.670044,2021,2,23
773,2021-02-24,2994.97998,1560900,906.309998,3600,1109.310059,2021,2,24
774,2021-02-25,3099.689941,1280100,936.210022,2400,1107.209961,2021,2,25
775,2021-02-26,3012.949951,1361300,913.940002,2600,1119.130005,2021,2,26
776,2021-03-02,3043.870117,1749900,923.169983,3000,1101.829956,2021,3,2
777,2021-03-03,3082.98999,2236700,930.799988,3400,1124.329956,2021,3,3
778,2021-03-04,3043.48999,1279000,926.200012,2400,1129.5,2021,3,4
779,2021-03-05,3026.26001,1187200,923.47998,2200,1133.349976,2021,3,5
780,2021-03-08,2996.110107,1928300,904.77002,3300,1127.48999,2021,3,8
781,2021-03-09,2976.120117,1534200,896.359985,3500,1140.22998,2021,3,9
782,2021-03-10,2958.120117,905600,890.070007,2900,1134.910034,2021,3,10
783,2021-03-11,3013.699951,1349200,908.01001,2400,1136.01001,2021,3,11
784,2021-03-12,3054.389893,1669100,925.48999,2900,1129.640015,2021,3,12
